city,timestamp,temperature,season
New York,2010-01-01,-1.6682524949567223,winter
New York,2010-01-02,8.510520314390893,winter
New York,2010-01-03,1.7222391762469402,winter
New York,2010-01-04,-0.10182794973878112,winter
New York,2010-01-05,1.536564848195183,winter
New York,2010-01-06,2.2210892371750752,winter
New York,2010-01-07,-3.9606679818788626,winter
New York,2010-01-08,4.267895434370772,winter
New York,2010-01-09,-2.789379015794387,winter
New York,2010-01-10,1.3825289310539437,winter
New York,2010-01-11,-0.5593223611664839,winter
New York,2010-01-12,2.132225057885152,winter
New York,2010-01-13,-8.7171456373549,winter
New York,2010-01-14,7.307316799516573,winter
New York,2010-01-15,-10.186229645877594,winter
New York,2010-01-16,6.06866438796186,winter
New York,2010-01-17,-1.512888223287587,winter
New York,2010-01-18,-5.448108643676807,winter
New York,2010-01-19,0.20505591332994544,winter
New York,2010-01-20,2.7929027345443327,winter
New York,2010-01-21,2.1774503580311273,winter
New York,2010-01-22,7.35255168266895,winter
New York,2010-01-23,-4.197747423582144,winter
New York,2010-01-24,-2.062977886048853,winter
New York,2010-01-25,6.457002926569645,winter
New York,2010-01-26,12.421830174935113,winter
New York,2010-01-27,-1.6653893998527232,winter
New York,2010-01-28,-2.5487387225119376,winter
New York,2010-01-29,8.111595217701703,winter
New York,2010-01-30,-2.3870688962300664,winter
New York,2010-01-31,6.107311885036909,winter
New York,2010-02-01,6.248148698941196,winter
New York,2010-02-02,2.6597531832855097,winter
New York,2010-02-03,-1.1531467544122618,winter
New York,2010-02-04,5.832300179133431,winter
New York,2010-02-05,-0.5629030385926144,winter
New York,2010-02-06,-1.937399129107718,winter
New York,2010-02-07,1.9105933264757724,winter
New York,2010-02-08,12.262806985827687,winter
New York,2010-02-09,-6.580296414235419,winter
New York,2010-02-10,4.020411849721977,winter
New York,2010-02-11,-1.661234102257567,winter
New York,2010-02-12,1.253652651449595,winter
New York,2010-02-13,2.5175456975947847,winter
New York,2010-02-14,-0.7999129500397107,winter
New York,2010-02-15,-2.571117217155308,winter
New York,2010-02-16,-0.3263682403817659,winter
New York,2010-02-17,-4.690602679176791,winter
New York,2010-02-18,-2.138487440977409,winter
New York,2010-02-19,5.575690011426174,winter
New York,2010-02-20,4.9472598446584755,winter
New York,2010-02-21,-4.368777748203617,winter
New York,2010-02-22,3.5311772064001485,winter
New York,2010-02-23,-4.95717999288022,winter
New York,2010-02-24,4.971731495975952,winter
